Description	ID	Solanum_lycopersicum	Solanum_appendiculatum	Petunia_inflata	Solanum_tuberosum	Jaltomata_sinuosa	Petunia_axillaris	Nicotiana_attenuata
OG0038881	OG0038881	0	0	0	0	0	1	0
OG0038882	OG0038882	0	0	0	0	0	1	0
OG0038883	OG0038883	0	0	0	0	0	1	0
OG0038884	OG0038884	0	0	0	0	0	1	0
OG0038885	OG0038885	0	0	0	0	0	1	0
OG0038886	OG0038886	0	0	0	0	0	1	0
OG0038887	OG0038887	0	0	0	0	0	1	0
OG0038888	OG0038888	0	0	0	0	0	1	0
OG0038889	OG0038889	0	0	0	0	0	1	0
OG0038890	OG0038890	0	0	0	0	0	1	0
OG0038891	OG0038891	0	0	0	0	0	1	0
OG0038892	OG0038892	0	0	0	0	0	1	0
OG0038893	OG0038893	0	0	0	0	0	1	0
OG0038894	OG0038894	0	0	0	0	0	1	0
OG0038895	OG0038895	0	0	0	0	0	1	0
OG0038896	OG0038896	0	0	0	0	0	1	0
OG0038897	OG0038897	0	0	1	0	0	0	0
OG0038898	OG0038898	0	0	1	0	0	0	0
OG0038899	OG0038899	0	0	1	0	0	0	0
OG0038900	OG0038900	0	0	1	0	0	0	0
OG0038901	OG0038901	0	0	1	0	0	0	0
OG0038902	OG0038902	0	0	1	0	0	0	0
OG0038903	OG0038903	0	0	1	0	0	0	0
OG0038904	OG0038904	0	0	1	0	0	0	0
OG0038905	OG0038905	0	0	1	0	0	0	0
OG0038906	OG0038906	0	0	1	0	0	0	0
OG0038907	OG0038907	0	0	1	0	0	0	0
OG0038908	OG0038908	0	0	1	0	0	0	0
OG0038909	OG0038909	0	0	1	0	0	0	0
OG0038910	OG0038910	0	0	1	0	0	0	0
OG0038911	OG0038911	0	0	1	0	0	0	0
OG0038912	OG0038912	0	0	1	0	0	0	0
OG0038913	OG0038913	0	0	1	0	0	0	0
OG0038914	OG0038914	0	0	1	0	0	0	0
OG0038915	OG0038915	0	0	1	0	0	0	0
OG0038916	OG0038916	0	0	1	0	0	0	0
OG0038917	OG0038917	0	0	1	0	0	0	0
OG0038918	OG0038918	0	0	1	0	0	0	0
OG0038919	OG0038919	0	0	1	0	0	0	0
OG0038920	OG0038920	0	0	1	0	0	0	0
OG0038921	OG0038921	0	0	1	0	0	0	0
OG0038922	OG0038922	0	0	1	0	0	0	0
OG0038923	OG0038923	0	0	1	0	0	0	0
OG0038924	OG0038924	0	0	1	0	0	0	0
OG0038925	OG0038925	0	0	1	0	0	0	0
OG0038926	OG0038926	0	0	1	0	0	0	0
OG0038927	OG0038927	0	0	1	0	0	0	0
OG0038928	OG0038928	0	0	1	0	0	0	0
OG0038929	OG0038929	0	0	1	0	0	0	0
OG0038930	OG0038930	0	0	1	0	0	0	0
OG0038931	OG0038931	0	0	1	0	0	0	0
OG0038932	OG0038932	0	0	1	0	0	0	0
OG0038933	OG0038933	0	0	1	0	0	0	0
OG0038934	OG0038934	0	0	1	0	0	0	0
OG0038935	OG0038935	0	0	1	0	0	0	0
OG0038936	OG0038936	0	0	1	0	0	0	0
OG0038937	OG0038937	0	0	1	0	0	0	0
OG0038938	OG0038938	0	0	1	0	0	0	0
OG0038939	OG0038939	0	0	1	0	0	0	0
OG0038940	OG0038940	0	0	1	0	0	0	0
OG0038941	OG0038941	0	0	1	0	0	0	0
OG0038942	OG0038942	0	0	1	0	0	0	0
OG0038943	OG0038943	0	0	1	0	0	0	0
OG0038944	OG0038944	0	0	1	0	0	0	0
OG0038945	OG0038945	0	0	1	0	0	0	0
OG0038946	OG0038946	0	0	1	0	0	0	0
OG0038947	OG0038947	0	0	1	0	0	0	0
OG0038948	OG0038948	0	0	1	0	0	0	0
OG0038949	OG0038949	0	0	1	0	0	0	0
OG0038950	OG0038950	0	0	1	0	0	0	0
OG0038951	OG0038951	0	0	1	0	0	0	0
OG0038952	OG0038952	0	0	1	0	0	0	0
OG0038953	OG0038953	0	0	1	0	0	0	0
OG0038954	OG0038954	0	0	1	0	0	0	0
OG0038955	OG0038955	0	0	1	0	0	0	0
OG0038956	OG0038956	0	0	1	0	0	0	0
OG0038957	OG0038957	0	0	1	0	0	0	0
OG0038958	OG0038958	0	0	1	0	0	0	0
OG0038959	OG0038959	0	0	1	0	0	0	0
OG0038960	OG0038960	0	0	1	0	0	0	0
OG0038961	OG0038961	0	0	1	0	0	0	0
OG0038962	OG0038962	0	0	1	0	0	0	0
OG0038963	OG0038963	0	0	1	0	0	0	0
OG0038964	OG0038964	0	0	1	0	0	0	0
OG0038965	OG0038965	0	0	1	0	0	0	0
OG0038966	OG0038966	0	0	1	0	0	0	0
OG0038967	OG0038967	0	0	1	0	0	0	0
OG0038968	OG0038968	0	0	1	0	0	0	0
OG0038969	OG0038969	0	0	1	0	0	0	0
OG0038970	OG0038970	0	0	1	0	0	0	0
OG0038971	OG0038971	0	0	1	0	0	0	0
OG0038972	OG0038972	0	0	1	0	0	0	0
OG0038973	OG0038973	0	0	1	0	0	0	0
OG0038974	OG0038974	0	0	1	0	0	0	0
OG0038975	OG0038975	0	0	1	0	0	0	0
OG0038976	OG0038976	0	0	1	0	0	0	0
OG0038977	OG0038977	0	0	1	0	0	0	0
OG0038978	OG0038978	0	0	1	0	0	0	0
OG0038979	OG0038979	0	0	1	0	0	0	0
OG0038980	OG0038980	0	0	1	0	0	0	0
OG0038981	OG0038981	0	0	1	0	0	0	0
OG0038982	OG0038982	0	0	1	0	0	0	0
OG0038983	OG0038983	0	0	1	0	0	0	0
OG0038984	OG0038984	0	0	1	0	0	0	0
OG0038985	OG0038985	0	0	1	0	0	0	0
OG0038986	OG0038986	0	0	1	0	0	0	0
OG0038987	OG0038987	0	0	1	0	0	0	0
OG0038988	OG0038988	0	0	1	0	0	0	0
OG0038989	OG0038989	0	0	1	0	0	0	0
OG0038990	OG0038990	0	0	1	0	0	0	0
OG0038991	OG0038991	0	0	1	0	0	0	0
OG0038992	OG0038992	0	0	1	0	0	0	0
OG0038993	OG0038993	0	0	1	0	0	0	0
OG0038994	OG0038994	0	0	1	0	0	0	0
OG0038995	OG0038995	0	0	1	0	0	0	0
OG0038996	OG0038996	0	0	1	0	0	0	0
OG0038997	OG0038997	0	0	1	0	0	0	0
OG0038998	OG0038998	0	0	1	0	0	0	0
OG0038999	OG0038999	0	0	1	0	0	0	0
OG0039000	OG0039000	0	0	1	0	0	0	0
OG0039001	OG0039001	0	0	1	0	0	0	0
OG0039002	OG0039002	0	0	1	0	0	0	0
OG0039003	OG0039003	0	0	1	0	0	0	0
OG0039004	OG0039004	0	0	1	0	0	0	0
OG0039005	OG0039005	0	0	1	0	0	0	0
OG0039006	OG0039006	0	0	1	0	0	0	0
OG0039007	OG0039007	0	0	1	0	0	0	0
OG0039008	OG0039008	0	0	1	0	0	0	0
OG0039009	OG0039009	0	0	1	0	0	0	0
OG0039010	OG0039010	0	0	1	0	0	0	0
OG0039011	OG0039011	0	0	1	0	0	0	0
OG0039012	OG0039012	0	0	1	0	0	0	0
OG0039013	OG0039013	0	0	1	0	0	0	0
OG0039014	OG0039014	0	0	1	0	0	0	0
OG0039015	OG0039015	0	0	1	0	0	0	0
OG0039016	OG0039016	0	0	1	0	0	0	0
OG0039017	OG0039017	0	0	1	0	0	0	0
OG0039018	OG0039018	0	0	1	0	0	0	0
OG0039019	OG0039019	0	0	1	0	0	0	0
OG0039020	OG0039020	0	0	1	0	0	0	0
OG0039021	OG0039021	0	0	1	0	0	0	0
OG0039022	OG0039022	0	0	1	0	0	0	0
OG0039023	OG0039023	0	0	1	0	0	0	0
OG0039024	OG0039024	0	0	1	0	0	0	0
OG0039025	OG0039025	0	0	1	0	0	0	0
OG0039026	OG0039026	0	0	1	0	0	0	0
OG0039027	OG0039027	0	0	1	0	0	0	0
OG0039028	OG0039028	0	0	1	0	0	0	0
OG0039029	OG0039029	0	0	1	0	0	0	0
OG0039030	OG0039030	0	0	1	0	0	0	0
OG0039031	OG0039031	0	0	1	0	0	0	0
OG0039032	OG0039032	0	0	1	0	0	0	0
OG0039033	OG0039033	0	0	1	0	0	0	0
OG0039034	OG0039034	0	0	1	0	0	0	0
OG0039035	OG0039035	0	0	1	0	0	0	0
OG0039036	OG0039036	0	0	1	0	0	0	0
OG0039037	OG0039037	0	0	1	0	0	0	0
OG0039038	OG0039038	0	0	1	0	0	0	0
OG0039039	OG0039039	0	0	1	0	0	0	0
OG0039040	OG0039040	0	0	1	0	0	0	0
OG0039041	OG0039041	0	0	1	0	0	0	0
OG0039042	OG0039042	0	0	1	0	0	0	0
OG0039043	OG0039043	0	0	1	0	0	0	0
OG0039044	OG0039044	0	0	1	0	0	0	0
OG0039045	OG0039045	0	0	1	0	0	0	0
OG0039046	OG0039046	0	0	1	0	0	0	0
OG0039047	OG0039047	0	0	1	0	0	0	0
OG0039048	OG0039048	0	0	1	0	0	0	0
OG0039049	OG0039049	0	0	1	0	0	0	0
OG0039050	OG0039050	0	0	1	0	0	0	0
OG0039051	OG0039051	0	0	1	0	0	0	0
OG0039052	OG0039052	0	0	1	0	0	0	0
OG0039053	OG0039053	0	0	1	0	0	0	0
OG0039054	OG0039054	0	0	1	0	0	0	0
OG0039055	OG0039055	0	0	1	0	0	0	0
OG0039056	OG0039056	0	0	1	0	0	0	0
OG0039057	OG0039057	0	0	1	0	0	0	0
OG0039058	OG0039058	0	0	1	0	0	0	0
OG0039059	OG0039059	0	0	1	0	0	0	0
OG0039060	OG0039060	0	0	1	0	0	0	0
OG0039061	OG0039061	0	0	1	0	0	0	0
OG0039062	OG0039062	0	0	1	0	0	0	0
OG0039063	OG0039063	0	0	1	0	0	0	0
OG0039064	OG0039064	0	0	1	0	0	0	0
OG0039065	OG0039065	0	0	1	0	0	0	0
OG0039066	OG0039066	0	0	1	0	0	0	0
OG0039067	OG0039067	0	0	1	0	0	0	0
OG0039068	OG0039068	0	0	1	0	0	0	0
OG0039069	OG0039069	0	0	1	0	0	0	0
OG0039070	OG0039070	0	0	1	0	0	0	0
OG0039071	OG0039071	0	0	1	0	0	0	0
OG0039072	OG0039072	0	0	1	0	0	0	0
OG0039073	OG0039073	0	0	1	0	0	0	0
OG0039074	OG0039074	0	0	1	0	0	0	0
OG0039075	OG0039075	0	0	1	0	0	0	0
OG0039076	OG0039076	0	0	1	0	0	0	0
OG0039077	OG0039077	0	0	1	0	0	0	0
OG0039078	OG0039078	0	0	1	0	0	0	0
OG0039079	OG0039079	0	0	1	0	0	0	0
OG0039080	OG0039080	0	0	1	0	0	0	0
OG0039081	OG0039081	0	0	1	0	0	0	0
OG0039082	OG0039082	0	0	1	0	0	0	0
OG0039083	OG0039083	0	0	1	0	0	0	0
OG0039084	OG0039084	0	0	1	0	0	0	0
OG0039085	OG0039085	0	0	1	0	0	0	0
OG0039086	OG0039086	0	0	1	0	0	0	0
OG0039087	OG0039087	0	0	1	0	0	0	0
OG0039088	OG0039088	0	0	1	0	0	0	0
OG0039089	OG0039089	0	0	1	0	0	0	0
OG0039090	OG0039090	0	0	1	0	0	0	0
OG0039091	OG0039091	0	0	1	0	0	0	0
OG0039092	OG0039092	0	0	1	0	0	0	0
OG0039093	OG0039093	0	0	1	0	0	0	0
OG0039094	OG0039094	0	0	1	0	0	0	0
OG0039095	OG0039095	0	0	1	0	0	0	0
OG0039096	OG0039096	0	0	1	0	0	0	0
OG0039097	OG0039097	0	0	1	0	0	0	0
OG0039098	OG0039098	0	0	1	0	0	0	0
OG0039099	OG0039099	0	0	1	0	0	0	0
OG0039100	OG0039100	0	0	1	0	0	0	0
OG0039101	OG0039101	0	0	1	0	0	0	0
OG0039102	OG0039102	0	0	1	0	0	0	0
OG0039103	OG0039103	0	0	1	0	0	0	0
OG0039104	OG0039104	0	0	1	0	0	0	0
OG0039105	OG0039105	0	0	1	0	0	0	0
OG0039106	OG0039106	0	0	1	0	0	0	0
OG0039107	OG0039107	0	0	1	0	0	0	0
OG0039108	OG0039108	0	0	1	0	0	0	0
OG0039109	OG0039109	0	0	1	0	0	0	0
OG0039110	OG0039110	0	0	1	0	0	0	0
OG0039111	OG0039111	0	0	1	0	0	0	0
OG0039112	OG0039112	0	0	1	0	0	0	0
OG0039113	OG0039113	0	0	1	0	0	0	0
OG0039114	OG0039114	0	0	1	0	0	0	0
OG0039115	OG0039115	0	0	1	0	0	0	0
OG0039116	OG0039116	0	0	1	0	0	0	0
OG0039117	OG0039117	0	0	1	0	0	0	0
OG0039118	OG0039118	0	0	1	0	0	0	0
OG0039119	OG0039119	0	0	1	0	0	0	0
OG0039120	OG0039120	0	0	1	0	0	0	0
OG0039121	OG0039121	0	0	1	0	0	0	0
OG0039122	OG0039122	0	0	1	0	0	0	0
OG0039123	OG0039123	0	0	1	0	0	0	0
OG0039124	OG0039124	0	0	1	0	0	0	0
OG0039125	OG0039125	0	0	1	0	0	0	0
OG0039126	OG0039126	0	0	1	0	0	0	0
OG0039127	OG0039127	0	0	1	0	0	0	0
OG0039128	OG0039128	0	0	1	0	0	0	0
OG0039129	OG0039129	0	0	1	0	0	0	0
OG0039130	OG0039130	0	0	1	0	0	0	0
OG0039131	OG0039131	0	0	1	0	0	0	0
OG0039132	OG0039132	0	0	1	0	0	0	0
OG0039133	OG0039133	0	0	1	0	0	0	0
OG0039134	OG0039134	0	0	1	0	0	0	0
OG0039135	OG0039135	0	0	1	0	0	0	0
OG0039136	OG0039136	0	0	1	0	0	0	0
OG0039137	OG0039137	0	0	1	0	0	0	0
OG0039138	OG0039138	0	0	1	0	0	0	0
OG0039139	OG0039139	0	0	1	0	0	0	0
OG0039140	OG0039140	0	0	1	0	0	0	0
OG0039141	OG0039141	0	0	1	0	0	0	0
OG0039142	OG0039142	0	0	1	0	0	0	0
OG0039143	OG0039143	0	0	1	0	0	0	0
OG0039144	OG0039144	0	0	1	0	0	0	0
OG0039145	OG0039145	0	0	1	0	0	0	0
OG0039146	OG0039146	0	0	1	0	0	0	0
OG0039147	OG0039147	0	0	1	0	0	0	0
OG0039148	OG0039148	0	0	1	0	0	0	0
OG0039149	OG0039149	0	0	1	0	0	0	0
OG0039150	OG0039150	0	0	1	0	0	0	0
OG0039151	OG0039151	0	0	1	0	0	0	0
OG0039152	OG0039152	0	0	1	0	0	0	0
OG0039153	OG0039153	0	0	1	0	0	0	0
OG0039154	OG0039154	0	0	1	0	0	0	0
OG0039155	OG0039155	0	0	1	0	0	0	0
OG0039156	OG0039156	0	0	1	0	0	0	0
OG0039157	OG0039157	0	0	1	0	0	0	0
OG0039158	OG0039158	0	0	1	0	0	0	0
OG0039159	OG0039159	0	0	1	0	0	0	0
OG0039160	OG0039160	0	0	1	0	0	0	0
OG0039161	OG0039161	0	0	1	0	0	0	0
OG0039162	OG0039162	0	0	1	0	0	0	0
OG0039163	OG0039163	0	0	1	0	0	0	0
OG0039164	OG0039164	0	0	1	0	0	0	0
OG0039165	OG0039165	0	0	1	0	0	0	0
OG0039166	OG0039166	0	0	1	0	0	0	0
OG0039167	OG0039167	0	0	1	0	0	0	0
OG0039168	OG0039168	0	0	1	0	0	0	0
OG0039169	OG0039169	0	0	1	0	0	0	0
OG0039170	OG0039170	0	0	1	0	0	0	0
OG0039171	OG0039171	0	0	1	0	0	0	0
OG0039172	OG0039172	0	0	1	0	0	0	0
OG0039173	OG0039173	0	0	1	0	0	0	0
OG0039174	OG0039174	0	0	1	0	0	0	0
OG0039175	OG0039175	0	0	1	0	0	0	0
OG0039176	OG0039176	0	0	1	0	0	0	0
OG0039177	OG0039177	0	0	1	0	0	0	0
OG0039178	OG0039178	0	0	1	0	0	0	0
OG0039179	OG0039179	0	0	1	0	0	0	0
OG0039180	OG0039180	0	0	1	0	0	0	0
OG0039181	OG0039181	0	0	1	0	0	0	0
OG0039182	OG0039182	0	0	1	0	0	0	0
OG0039183	OG0039183	0	0	1	0	0	0	0
OG0039184	OG0039184	0	0	1	0	0	0	0
OG0039185	OG0039185	0	0	1	0	0	0	0
OG0039186	OG0039186	0	0	1	0	0	0	0
OG0039187	OG0039187	0	0	1	0	0	0	0
OG0039188	OG0039188	0	0	1	0	0	0	0
OG0039189	OG0039189	0	0	1	0	0	0	0
OG0039190	OG0039190	0	0	1	0	0	0	0
OG0039191	OG0039191	0	0	1	0	0	0	0
OG0039192	OG0039192	0	0	1	0	0	0	0
OG0039193	OG0039193	0	0	1	0	0	0	0
OG0039194	OG0039194	0	0	1	0	0	0	0
OG0039195	OG0039195	0	0	1	0	0	0	0
OG0039196	OG0039196	0	0	1	0	0	0	0
OG0039197	OG0039197	0	0	1	0	0	0	0
OG0039198	OG0039198	0	0	1	0	0	0	0
OG0039199	OG0039199	0	0	1	0	0	0	0
OG0039200	OG0039200	0	0	1	0	0	0	0
OG0039201	OG0039201	0	0	1	0	0	0	0
OG0039202	OG0039202	0	0	1	0	0	0	0
OG0039203	OG0039203	0	0	1	0	0	0	0
OG0039204	OG0039204	0	0	1	0	0	0	0
OG0039205	OG0039205	0	0	1	0	0	0	0
OG0039206	OG0039206	0	0	1	0	0	0	0
OG0039207	OG0039207	0	0	1	0	0	0	0
OG0039208	OG0039208	0	0	1	0	0	0	0
OG0039209	OG0039209	0	0	1	0	0	0	0
OG0039210	OG0039210	0	0	1	0	0	0	0
OG0039211	OG0039211	0	0	1	0	0	0	0
OG0039212	OG0039212	0	0	1	0	0	0	0
OG0039213	OG0039213	0	0	1	0	0	0	0
OG0039214	OG0039214	0	0	1	0	0	0	0
OG0039215	OG0039215	0	0	1	0	0	0	0
OG0039216	OG0039216	0	0	1	0	0	0	0
OG0039217	OG0039217	0	0	1	0	0	0	0
OG0039218	OG0039218	0	0	1	0	0	0	0
OG0039219	OG0039219	0	0	1	0	0	0	0
OG0039220	OG0039220	0	0	1	0	0	0	0
OG0039221	OG0039221	0	0	1	0	0	0	0
OG0039222	OG0039222	0	0	1	0	0	0	0
OG0039223	OG0039223	0	0	1	0	0	0	0
OG0039224	OG0039224	0	0	1	0	0	0	0
OG0039225	OG0039225	0	0	1	0	0	0	0
OG0039226	OG0039226	0	0	1	0	0	0	0
OG0039227	OG0039227	0	0	1	0	0	0	0
OG0039228	OG0039228	0	0	1	0	0	0	0
OG0039229	OG0039229	0	0	1	0	0	0	0
OG0039230	OG0039230	0	0	1	0	0	0	0
OG0039231	OG0039231	0	0	1	0	0	0	0
OG0039232	OG0039232	0	0	1	0	0	0	0
OG0039233	OG0039233	0	0	1	0	0	0	0
OG0039234	OG0039234	0	0	1	0	0	0	0
OG0039235	OG0039235	0	0	1	0	0	0	0
OG0039236	OG0039236	0	0	1	0	0	0	0
OG0039237	OG0039237	0	0	1	0	0	0	0
OG0039238	OG0039238	0	0	1	0	0	0	0
OG0039239	OG0039239	0	0	1	0	0	0	0
OG0039240	OG0039240	0	0	1	0	0	0	0
OG0039241	OG0039241	0	0	1	0	0	0	0
OG0039242	OG0039242	0	0	1	0	0	0	0
OG0039243	OG0039243	0	0	1	0	0	0	0
OG0039244	OG0039244	0	0	1	0	0	0	0
OG0039245	OG0039245	0	0	1	0	0	0	0
OG0039246	OG0039246	0	0	1	0	0	0	0
OG0039247	OG0039247	0	0	1	0	0	0	0
OG0039248	OG0039248	0	0	1	0	0	0	0
OG0039249	OG0039249	0	0	1	0	0	0	0
OG0039250	OG0039250	0	0	1	0	0	0	0
OG0039251	OG0039251	0	0	1	0	0	0	0
OG0039252	OG0039252	0	0	1	0	0	0	0
OG0039253	OG0039253	0	0	1	0	0	0	0
OG0039254	OG0039254	0	0	1	0	0	0	0
OG0039255	OG0039255	0	0	1	0	0	0	0
OG0039256	OG0039256	0	0	1	0	0	0	0
OG0039257	OG0039257	0	0	1	0	0	0	0
OG0039258	OG0039258	0	0	1	0	0	0	0
OG0039259	OG0039259	0	0	1	0	0	0	0
OG0039260	OG0039260	0	0	1	0	0	0	0
OG0039261	OG0039261	0	0	1	0	0	0	0
OG0039262	OG0039262	0	0	1	0	0	0	0
OG0039263	OG0039263	0	0	1	0	0	0	0
OG0039264	OG0039264	0	0	1	0	0	0	0
OG0039265	OG0039265	0	0	1	0	0	0	0
OG0039266	OG0039266	0	0	1	0	0	0	0
OG0039267	OG0039267	0	0	1	0	0	0	0
OG0039268	OG0039268	0	0	1	0	0	0	0
OG0039269	OG0039269	0	0	1	0	0	0	0
OG0039270	OG0039270	0	0	1	0	0	0	0
OG0039271	OG0039271	0	0	1	0	0	0	0
OG0039272	OG0039272	0	0	1	0	0	0	0
OG0039273	OG0039273	0	0	1	0	0	0	0
OG0039274	OG0039274	0	0	1	0	0	0	0
OG0039275	OG0039275	0	0	1	0	0	0	0
OG0039276	OG0039276	0	0	1	0	0	0	0
OG0039277	OG0039277	0	0	1	0	0	0	0
OG0039278	OG0039278	0	0	1	0	0	0	0
OG0039279	OG0039279	0	0	1	0	0	0	0
OG0039280	OG0039280	0	0	1	0	0	0	0
OG0039281	OG0039281	0	0	1	0	0	0	0
OG0039282	OG0039282	0	0	1	0	0	0	0
OG0039283	OG0039283	0	0	1	0	0	0	0
OG0039284	OG0039284	0	0	1	0	0	0	0
OG0039285	OG0039285	0	0	1	0	0	0	0
OG0039286	OG0039286	0	0	1	0	0	0	0
OG0039287	OG0039287	0	0	1	0	0	0	0
OG0039288	OG0039288	0	0	1	0	0	0	0
OG0039289	OG0039289	0	0	1	0	0	0	0
OG0039290	OG0039290	0	0	1	0	0	0	0
OG0039291	OG0039291	0	0	1	0	0	0	0
OG0039292	OG0039292	0	0	1	0	0	0	0
OG0039293	OG0039293	0	0	1	0	0	0	0
OG0039294	OG0039294	0	0	1	0	0	0	0
OG0039295	OG0039295	0	0	1	0	0	0	0
OG0039296	OG0039296	0	0	1	0	0	0	0
OG0039297	OG0039297	0	0	1	0	0	0	0
OG0039298	OG0039298	0	0	1	0	0	0	0
OG0039299	OG0039299	0	0	1	0	0	0	0
OG0039300	OG0039300	0	0	1	0	0	0	0
OG0039301	OG0039301	0	0	1	0	0	0	0
OG0039302	OG0039302	0	0	1	0	0	0	0
OG0039303	OG0039303	0	0	1	0	0	0	0
OG0039304	OG0039304	0	0	1	0	0	0	0
OG0039305	OG0039305	0	0	1	0	0	0	0
OG0039306	OG0039306	0	0	1	0	0	0	0
OG0039307	OG0039307	0	0	1	0	0	0	0
OG0039308	OG0039308	0	0	1	0	0	0	0
OG0039309	OG0039309	0	0	1	0	0	0	0
OG0039310	OG0039310	0	0	1	0	0	0	0
OG0039311	OG0039311	0	0	1	0	0	0	0
OG0039312	OG0039312	0	0	1	0	0	0	0
OG0039313	OG0039313	0	0	1	0	0	0	0
OG0039314	OG0039314	0	0	1	0	0	0	0
OG0039315	OG0039315	0	0	1	0	0	0	0
OG0039316	OG0039316	0	0	1	0	0	0	0
OG0039317	OG0039317	0	0	1	0	0	0	0
OG0039318	OG0039318	0	0	1	0	0	0	0
OG0039319	OG0039319	0	0	1	0	0	0	0
OG0039320	OG0039320	0	0	1	0	0	0	0
OG0039321	OG0039321	0	0	1	0	0	0	0
OG0039322	OG0039322	0	0	1	0	0	0	0
OG0039323	OG0039323	0	0	1	0	0	0	0
OG0039324	OG0039324	0	0	1	0	0	0	0
OG0039325	OG0039325	0	0	1	0	0	0	0
OG0039326	OG0039326	0	0	1	0	0	0	0
OG0039327	OG0039327	0	0	1	0	0	0	0
OG0039328	OG0039328	0	0	1	0	0	0	0
OG0039329	OG0039329	0	0	1	0	0	0	0
OG0039330	OG0039330	0	0	1	0	0	0	0
OG0039331	OG0039331	0	0	1	0	0	0	0
OG0039332	OG0039332	0	0	1	0	0	0	0
OG0039333	OG0039333	0	0	1	0	0	0	0
OG0039334	OG0039334	0	0	1	0	0	0	0
OG0039335	OG0039335	0	0	1	0	0	0	0
OG0039336	OG0039336	0	0	1	0	0	0	0
OG0039337	OG0039337	0	0	1	0	0	0	0
OG0039338	OG0039338	0	0	1	0	0	0	0
OG0039339	OG0039339	0	0	1	0	0	0	0
OG0039340	OG0039340	0	0	1	0	0	0	0
OG0039341	OG0039341	0	0	1	0	0	0	0
OG0039342	OG0039342	0	0	1	0	0	0	0
OG0039343	OG0039343	0	0	1	0	0	0	0
OG0039344	OG0039344	0	0	1	0	0	0	0
OG0039345	OG0039345	0	0	1	0	0	0	0
OG0039346	OG0039346	0	0	1	0	0	0	0
OG0039347	OG0039347	0	0	1	0	0	0	0
OG0039348	OG0039348	0	0	1	0	0	0	0
OG0039349	OG0039349	0	0	1	0	0	0	0
OG0039350	OG0039350	0	0	1	0	0	0	0
OG0039351	OG0039351	0	0	1	0	0	0	0
OG0039352	OG0039352	0	0	1	0	0	0	0
OG0039353	OG0039353	0	0	1	0	0	0	0
OG0039354	OG0039354	0	0	1	0	0	0	0
OG0039355	OG0039355	0	0	1	0	0	0	0
OG0039356	OG0039356	0	0	1	0	0	0	0
OG0039357	OG0039357	0	0	1	0	0	0	0
OG0039358	OG0039358	0	0	1	0	0	0	0
OG0039359	OG0039359	0	0	1	0	0	0	0
OG0039360	OG0039360	0	0	1	0	0	0	0
OG0039361	OG0039361	0	0	1	0	0	0	0
OG0039362	OG0039362	0	0	1	0	0	0	0
OG0039363	OG0039363	0	0	1	0	0	0	0
OG0039364	OG0039364	0	0	1	0	0	0	0
OG0039365	OG0039365	0	0	1	0	0	0	0
OG0039366	OG0039366	0	0	1	0	0	0	0
OG0039367	OG0039367	0	0	1	0	0	0	0
OG0039368	OG0039368	0	0	1	0	0	0	0
OG0039369	OG0039369	0	0	1	0	0	0	0
OG0039370	OG0039370	0	0	1	0	0	0	0
OG0039371	OG0039371	0	0	1	0	0	0	0
OG0039372	OG0039372	0	0	1	0	0	0	0
OG0039373	OG0039373	0	0	1	0	0	0	0
OG0039374	OG0039374	0	0	1	0	0	0	0
OG0039375	OG0039375	0	0	1	0	0	0	0
OG0039376	OG0039376	0	0	1	0	0	0	0
OG0039377	OG0039377	0	0	1	0	0	0	0
OG0039378	OG0039378	0	0	1	0	0	0	0
OG0039379	OG0039379	0	0	1	0	0	0	0
OG0039380	OG0039380	0	0	1	0	0	0	0
OG0039381	OG0039381	0	0	1	0	0	0	0
OG0039382	OG0039382	0	0	1	0	0	0	0
OG0039383	OG0039383	0	0	1	0	0	0	0
OG0039384	OG0039384	0	0	1	0	0	0	0
OG0039385	OG0039385	0	0	1	0	0	0	0
OG0039386	OG0039386	0	0	1	0	0	0	0
OG0039387	OG0039387	0	0	1	0	0	0	0
OG0039388	OG0039388	0	0	1	0	0	0	0
OG0039389	OG0039389	0	0	1	0	0	0	0
OG0039390	OG0039390	0	0	1	0	0	0	0
OG0039391	OG0039391	0	0	1	0	0	0	0
OG0039392	OG0039392	0	0	1	0	0	0	0
OG0039393	OG0039393	0	0	1	0	0	0	0
OG0039394	OG0039394	0	0	1	0	0	0	0
OG0039395	OG0039395	0	0	1	0	0	0	0
OG0039396	OG0039396	0	0	1	0	0	0	0
OG0039397	OG0039397	0	0	1	0	0	0	0
OG0039398	OG0039398	0	0	1	0	0	0	0
OG0039399	OG0039399	0	0	1	0	0	0	0
OG0039400	OG0039400	0	0	1	0	0	0	0
OG0039401	OG0039401	0	0	1	0	0	0	0
OG0039402	OG0039402	0	0	1	0	0	0	0
OG0039403	OG0039403	0	0	1	0	0	0	0
OG0039404	OG0039404	0	0	1	0	0	0	0
OG0039405	OG0039405	0	0	1	0	0	0	0
OG0039406	OG0039406	0	0	1	0	0	0	0
OG0039407	OG0039407	0	0	1	0	0	0	0
OG0039408	OG0039408	0	0	1	0	0	0	0
OG0039409	OG0039409	0	0	1	0	0	0	0
OG0039410	OG0039410	0	0	1	0	0	0	0
OG0039411	OG0039411	0	0	1	0	0	0	0
OG0039412	OG0039412	0	0	1	0	0	0	0
OG0039413	OG0039413	0	0	1	0	0	0	0
OG0039414	OG0039414	0	0	1	0	0	0	0
OG0039415	OG0039415	0	0	1	0	0	0	0
